2/25/2023,Updated Last,,ConCnt = ,431,DSize =,2057
POS: 1=adj 2=adv 3=conj 4=interj 5=noun 6=prep 7=pron,,,,,,
8=verb 9=names 10=affirmation 11=Symbol 12=numbers 15=Exec,,,,,,
"Global Domain idetifies Sentient, Living, Possession…",,,,,,
Gender: Male=M=77 Female=F=70 Neuter=N=78,,,Plural=P=80 Singular=S=83,,,
Global Domain Values: ,,TBD 0= blank 1= Plant 2= animal  3= Human 4= Robot  5= Object  6= Action,,,,
Data File: Enboot1.csv,,,,,,
NEN, Length, Concept, POS,Gender,Plural,Global Domain
1,1,-,11,78,83,0
2,1,!,11,78,83,0
3,1,"""",11,78,83,0
4,1,#,11,78,83,0
5,1,$,11,78,83,0
6,1,%,11,78,83,0
7,1,&,11,78,83,0
8,1,(,11,78,83,0
9,1,),11,78,83,0
10,1,*,11,78,83,0
11,1,.,11,78,83,0
12,1,/,11,78,83,0
13,1,:,11,78,83,0
14,1,;,11,78,83,0
15,1,?,11,78,83,0
16,1,@,11,78,83,0
17,1,[,11,78,83,0
18,1,\,11,78,83,0
19,1,],11,78,83,0
20,1,^,11,78,83,0
21,1,_,11,78,83,0
22,1,{,11,78,83,0
23,1,|,11,78,83,0
24,1,},11,78,83,0
25,1,~,11,78,83,0
26,1,+,11,78,83,0
27,1,<,11,78,83,0
28,1,=,11,78,83,0
29,1,>,11,78,83,0
30,1,0,12,78,83,0
31,1,1,12,78,83,0
32,1,2,12,78,83,0
33,1,3,12,78,83,0
34,1,4,12,78,83,0
35,1,5,12,78,83,0
36,1,6,12,78,83,0
37,1,7,12,78,83,0
38,1,8,12,78,83,0
39,1,9,12,78,83,0
40,1,A,1,78,83,0
41,6,ABOARD,6,78,83,0
42,5,ABOUT,6,78,83,0
43,5,ABOVE,6,78,83,0
44,6,ABSENT,6,78,83,0
45,6,ACROSS,6,78,83,0
46,9,ADORATION,5,78,83,0
47,5,AFTER,6,78,83,0
48,9,AFTERNOON,5,78,83,0
49,7,AGAINST,6,78,83,0
50,2,AI,5,78,83,4
51,3,AIR,5,78,83,0
52,8,AIRPLANE,5,78,83,0
53,5,ALIVE,1,78,83,0
54,3,ALL,1,78,83,0
55,5,ALONG,6,78,83,0
56,9,ALONGSIDE,6,78,83,0
57,4,ALSO,2,78,83,0
58,8,ALTHOUGH,3,78,83,0
59,2,AM,8,78,83,0
60,8,AMERICAN,5,78,83,0
61,4,AMID,6,78,83,0
62,6,AMIDST,6,78,83,0
63,5,AMONG,6,78,83,0
64,7,AMONGST,6,78,83,0
65,2,AN,1,78,83,0
66,3,AND,3,78,83,0
67,6,ANIMAL,5,78,83,2
68,7,ANOTHER,1,78,83,0
69,10,APPEARANCE,5,78,83,0
70,3,ARE,8,78,80,0
71,6,AROUND,6,78,83,0
72,2,AS,6,78,83,0
73,6,ASLANT,6,78,83,0
74,7,ASTRIDE,6,78,83,0
75,2,AT,6,78,83,0
76,4,ATOP,6,78,83,0
77,8,ATTITUDE,5,78,83,0
78,5,AWAKE,8,78,83,0
79,4,BABY,5,78,83,3
80,3,BAD,2,78,83,0
81,9,BALTIMORE,5,78,83,0
82,4,BARN,5,78,83,0
83,7,BARRING,6,78,83,6
84,2,BE,8,78,83,0
85,9,BEAUTIFUL,1,78,83,6
86,7,BECAUSE,3,78,83,0
87,4,BEER,5,78,83,0
88,6,BEFORE,6,78,83,0
89,6,BEHIND,6,78,83,0
90,5,BELOW,6,78,83,0
91,7,BENEATH,6,78,83,0
92,6,BESIDE,6,78,83,0
93,7,BESIDES,6,78,83,0
94,7,BETWEEN,6,78,83,0
95,8,BEVERAGE,5,78,83,0
96,6,BEYOND,6,78,83,0
97,3,BIG,1,78,83,0
98,4,BIKE,5,78,83,0
99,4,BILL,9,77,83,3
100,4,BIRD,5,78,83,2
101,5,BLACK,1,78,83,0
102,4,BLUE,1,78,83,0
103,4,BODY,5,78,83,5
104,4,BOOK,5,78,83,5
105,5,BOOKS,5,78,80,5
106,3,BOY,5,77,83,3
107,9,BOYFRIEND,5,77,83,3
108,5,BROAD,2,78,83,0
109,3,BUG,5,78,83,2
110,3,BUT,3,78,83,0
111,2,BY,6,78,83,0
112,9,CALCULATE,8,78,83,6
113,3,CAR,5,78,83,0
114,3,CAT,5,78,83,0
115,5,CHAIR,5,78,83,0
116,6,CHANGE,8,78,83,0
117,5,CHASE,8,78,83,6
118,5,CHILD,5,78,83,3
119,8,CHILDREN,5,78,83,3
120,6,CHOICE,5,78,83,0
121,6,CHURCH,5,78,83,0
122,4,CITY,5,78,83,0
123,10,COLLECTION,5,78,83,0
124,13,COMMUNICATION,5,78,83,0
125,7,COMPARE,8,78,83,6
126,7,CORRECT,10,78,83,0
127,6,CREATE,8,78,83,6
128,8,CREATING,1,78,83,6
129,8,CREATION,5,78,83,0
130,3,CRY,8,78,83,6
131,6,CRYING,1,78,83,6
132,4,CYAN,1,78,83,0
133,8,DAUGHTER,5,70,83,3
134,3,DAY,5,78,83,0
135,7,DEANNIE,9,70,83,3
136,3,DEB,9,70,83,3
137,7,DESPITE,3,78,83,0
138,3,DIG,8,78,83,6
139,7,DIGGING,1,78,83,6
140,6,DINNER,5,78,83,0
141,2,DO,8,78,83,0
142,6,DOCTOR,5,78,83,0
143,3,DOG,5,78,83,2
144,4,DOWN,6,78,83,0
145,6,DURING,6,78,83,0
146,9,EACHOTHER,7,78,83,0
147,5,EARTH,5,78,83,0
148,3,EAT,8,78,83,6
149,5,EMAIL,5,78,83,0
150,6,ENERGY,5,78,83,0
151,8,ENGINEER,5,78,83,0
152,13,ENTERTAINMENT,5,78,83,0
153,7,EVENING,5,78,83,0
154,6,EXCEPT,6,78,83,0
155,5,EXIST,8,78,83,0
156,7,FAILING,6,78,83,0
157,5,FALSE,1,78,83,0
158,6,FAMILY,5,78,83,3
159,4,FARM,5,78,83,0
160,4,FAST,5,78,83,0
161,6,FATHER,5,77,83,3
162,4,FEAR,5,78,83,0
163,4,FEET,5,78,83,0
164,6,FEMALE,5,70,83,3
165,3,FEW,1,78,83,0
166,4,FIND,8,78,83,6
167,4,FISH,5,78,83,2
168,7,FISHING,1,78,83,6
169,6,FLOWER,5,78,83,1
170,5,FLUID,5,78,83,0
171,3,FLY,8,78,83,0
172,6,FLYING,1,78,83,6
173,9,FOLLOWING,6,78,83,0
174,4,FOOD,5,78,83,0
175,4,FOOT,5,78,83,0
176,3,FOR,6,78,83,0
177,5,FRANK,9,77,83,3
178,4,FREE,1,78,83,0
179,4,FROG,5,78,83,2
180,4,FROM,6,78,83,0
181,5,FRUIT,5,78,83,1
182,3,FUN,5,78,83,0
183,5,FUNNY,1,78,83,0
184,4,GAME,5,78,83,0
185,6,GATHER,8,78,83,6
186,4,GIRL,5,70,83,3
187,10,GIRLFRIEND,5,70,83,3
188,6,GLAMOR,5,78,83,0
189,3,GOD,9,78,83,3
190,4,GOOD,2,78,83,0
191,7,GOODBYE,4,78,83,0
192,4,GRAY,1,78,83,0
193,5,GREEN,1,78,83,0
194,6,GROUND,5,78,83,0
195,5,GROUP,5,78,83,0
196,4,GROW,8,78,83,6
197,7,GROWING,1,78,83,6
198,3,HAS,8,78,83,0
199,4,HAVE,8,78,83,0
200,2,HE,7,77,83,3
201,4,HEAR,8,78,83,0
202,7,HEARING,1,78,83,6
203,5,HELLO,4,78,83,0
204,3,HER,7,70,83,3
205,3,HIS,7,77,83,3
206,4,HOME,5,78,83,0
207,5,HORSE,5,78,83,2
208,5,HOUSE,5,78,83,0
209,3,HOW,2,78,83,0
210,7,HOWEVER,3,78,83,0
211,7,HUSBAND,5,77,83,3
212,1,I,7,78,83,3
213,2,IF,3,78,83,0
214,9,IMPORTANT,5,78,83,0
215,2,IN,6,78,83,0
216,9,INCORRECT,10,78,83,0
217,11,INFORMATION,5,78,83,0
218,6,INSECT,5,78,83,2
219,6,INSIDE,6,78,83,0
220,4,INTO,6,78,83,0
221,2,IS,8,78,83,0
222,2,IT,7,78,83,0
223,3,JIM,9,77,83,3
224,4,JOHN,9,77,83,3
225,7,JOURNEY,5,78,83,0
226,3,JOY,5,78,83,0
227,4,KNOW,8,78,83,3
228,9,KNOWLEDGE,5,78,83,0
229,5,LARGE,5,78,83,0
230,5,LATER,2,78,83,6
231,5,LAUGH,8,78,83,6
232,8,LAUGHING,1,78,83,6
233,4,LESS,1,78,83,0
234,6,LETTER,5,78,83,0
235,4,LIFE,5,78,83,0
236,5,LIGHT,5,78,83,0
237,4,LIKE,6,78,83,0
238,6,LIQUID,5,78,83,0
239,4,LISA,9,70,83,3
240,6,LISTEN,8,78,83,0
241,9,LISTENING,1,78,83,6
242,4,LIVE,8,78,83,6
243,4,LOOK,8,78,83,6
244,6,LOOKUP,8,78,83,6
245,4,LOVE,8,78,83,6
246,6,LOVING,1,78,83,6
247,5,LOWER,2,78,83,0
248,8,MAGAZINE,5,78,83,0
249,7,MAGENTA,1,78,83,0
250,4,MAKE,8,78,83,0
251,6,MAKING,1,78,83,6
252,4,MALE,5,77,83,3
253,3,MAN,5,77,83,3
254,4,MANY,1,78,83,0
255,5,MATCH,8,78,83,6
256,8,MATERIAL,5,78,83,0
257,4,MATH,5,78,83,0
258,2,ME,7,78,83,3
259,8,MEDICINE,5,78,83,0
260,3,MEN,5,77,80,3
261,7,MESSAGE,5,78,83,0
262,4,MICE,5,78,80,2
263,3,MID,6,78,83,0
264,4,MIKE,9,77,83,3
265,4,MILK,5,78,83,0
266,9,MILLICENT,9,70,83,3
267,6,MILLIE,9,70,83,3
268,4,MIND,5,78,83,3
269,5,MINUS,6,78,83,0
270,4,MORE,1,78,83,0
271,7,MORNING,5,78,83,0
272,6,MOTHER,5,70,83,3
273,5,MOUSE,5,78,83,2
274,8,MOVEMENT,5,78,83,0
275,4,MUCH,1,78,83,0
276,2,MY,7,78,83,3
277,6,NARROW,2,78,83,0
278,4,NEAR,6,78,83,0
279,3,NEW,1,78,83,0
280,4,NEXT,6,78,83,0
281,5,NIGHT,5,78,83,0
282,2,NO,10,78,83,0
283,3,NOT,2,78,83,0
284,4,NOTE,5,78,83,5
285,5,NOTES,5,78,80,5
286,15,NOTWITHSTANDING,6,78,83,0
287,4,NOUN,5,78,83,0
288,3,NUT,5,78,83,1
289,9,NUTRITION,5,78,83,0
290,2,OF,6,78,83,0
291,3,OFF,6,78,83,0
292,9,OFFSPRING,5,78,80,0
293,3,OLD,1,78,83,0
294,2,ON,6,78,83,0
295,4,ONLY,2,78,83,0
296,4,ONTO,6,78,83,0
297,8,OPPOSITE,6,78,83,0
298,2,OR,3,78,83,0
299,3,OUR,7,78,80,3
300,7,OUTSIDE,6,78,83,0
301,4,OVER,6,78,83,0
302,4,PAST,6,78,83,0
303,6,PEOPLE,5,78,80,3
304,6,PERSON,5,78,83,3
305,3,PET,5,78,83,2
306,5,PHONE,5,78,83,0
307,3,PIA,9,77,83,2
308,3,PIG,5,78,83,2
309,5,PLACE,5,78,83,0
310,5,PLANE,5,78,83,0
311,6,PLANET,5,78,83,0
312,5,PLANT,5,78,83,1
313,8,PLANTING,1,78,83,6
314,4,PLAY,8,78,83,0
315,7,PLAYING,1,78,83,6
316,6,PLEASE,4,78,83,0
317,8,PLEASURE,5,78,83,0
318,4,PLUS,6,78,83,0
319,5,POWER,5,78,83,0
320,6,PRAISE,5,78,83,0
321,4,READ,8,78,83,6
322,7,READING,1,78,83,6
323,3,RED,1,78,83,0
324,9,REGARDING,6,78,83,0
325,5,ROBOT,5,78,83,4
326,5,ROUND,6,78,83,0
327,4,SAVE,6,78,83,0
328,6,SCHOOL,5,78,83,0
329,7,SCIENCE,5,78,83,0
330,9,SCIENTIST,5,78,83,3
331,6,SEARCH,8,78,83,6
332,3,SEE,8,78,83,3
333,6,SEEING,1,78,83,6
334,4,SEEK,8,78,83,6
335,7,SERVANT,5,78,83,0
336,3,SEX,5,78,83,0
337,3,SHE,7,70,83,3
338,7,SHELLEY,9,70,83,3
339,5,SINCE,6,78,83,0
340,4,SING,8,78,83,6
341,7,SINGING,1,78,83,6
342,3,SKY,5,78,83,0
343,5,SMALL,1,78,83,0
344,4,SOME,1,78,83,0
345,3,SON,5,77,83,3
346,5,SPEED,5,78,83,0
347,4,STAR,5,78,83,0
348,5,STATE,5,78,83,0
349,5,STILL,1,78,83,0
350,6,STRING,5,78,83,0
351,3,SUN,5,78,83,0
352,4,TALK,8,78,83,0
353,7,TALKING,1,78,83,6
354,7,TEACHER,5,78,83,3
355,4,THAN,6,78,83,0
356,6,THANKS,4,78,83,0
357,4,THAT,3,78,83,0
358,3,THE,1,78,83,0
359,5,THEIR,7,78,80,3
360,4,THEM,7,78,80,3
361,4,THEN,2,78,83,0
362,9,THEREFORE,2,78,83,0
363,5,THESE,7,78,80,0
364,4,THEY,5,78,80,3
365,5,THINK,8,78,83,3
366,8,THINKING,1,78,83,6
367,4,THIS,7,78,83,0
368,5,THOSE,7,78,80,0
369,6,THOUGH,3,78,83,0
370,7,THOUGHT,5,78,83,6
371,7,THROUGH,6,78,83,0
372,10,THROUGHOUT,6,78,83,0
373,4,TIFF,9,70,83,3
374,4,TILL,6,78,83,0
375,3,TIM,9,77,83,3
376,4,TIME,6,78,83,0
377,2,TO,6,78,83,0
378,4,TOBY,9,77,83,3
379,3,TOO,6,78,83,0
380,6,TOWARD,6,78,83,0
381,7,TOWARDS,6,78,83,0
382,3,TOY,5,78,83,0
383,5,TRAIN,5,78,83,0
384,14,TRANSPORTATION,5,78,83,0
385,6,TRAVEL,5,78,83,6
386,4,TRIP,5,78,83,0
387,5,TRUCK,5,78,83,0
388,4,TRUE,1,78,83,0
389,5,TRUTH,5,78,83,0
390,6,TYPING,1,78,83,6
391,5,UNDER,6,78,83,0
392,10,UNDERNEATH,6,78,83,0
393,6,UNLIKE,6,78,83,0
394,5,UNTIL,6,78,83,0
395,2,UP,6,78,83,0
396,4,UPON,6,78,83,0
397,5,UPPER,2,78,83,0
398,2,US,7,78,80,3
399,7,VEHICLE,5,78,83,0
400,4,VERB,5,78,83,0
401,4,VERY,2,78,83,0
402,3,VIA,6,78,83,0
403,5,WATER,5,78,83,0
404,2,WE,7,78,80,3
405,4,WEEP,8,78,83,6
406,7,WEEPING,1,78,83,6
407,4,WELL,2,78,83,0
408,4,WHAT,2,78,83,0
409,4,WHEN,2,78,83,0
410,5,WHERE,2,78,83,0
411,5,WHITE,1,78,83,0
412,3,WHO,2,78,83,0
413,3,WHY,2,78,83,0
414,4,WIFE,5,70,83,3
415,4,WINE,5,78,83,0
416,6,WISDOM,5,78,83,6
417,4,WITH,6,78,83,0
418,6,WITHIN,6,78,83,0
419,7,WITHOUT,6,78,83,0
420,5,WOMAN,5,70,83,3
421,5,WOMEN,5,70,80,3
422,4,WORK,8,78,83,0
423,7,WORKING,1,78,83,6
424,5,WORLD,5,78,83,0
425,7,WORSHIP,5,78,83,0
426,4,YARD,5,78,83,0
427,6,YELLOW,1,78,83,0
428,3,YES,10,78,83,0
429,3,YOU,7,78,83,3
430,5,YOUNG,1,78,83,0
431,4,YOUR,7,78,83,3
